City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saint George,US,37.1041,-113.5841,69.35,32,1,1.99,clear sky
80,Rio Gallegos,AR,-51.6226,-69.2181,51.85,28,75,17.27,broken clouds
81,Mecca,SA,21.4267,39.8261,89.65,38,39,6.46,scattered clouds
82,Coral Springs,US,26.2712,-80.2706,87.01,75,1,3.0,clear sky
83,Mar Del Plata,AR,-38.0023,-57.5575,62.62,60,0,7.0,clear sky
84,Satipo,PE,-11.2522,-74.6386,92.59,34,4,2.77,clear sky
85,Ribeira Grande,PT,38.5167,-28.7,75.6,83,40,11.5,scattered clouds
86,Mangai,CD,-4.05,19.5333,81.95,61,79,2.15,broken clouds
87,Ancud,CL,-41.8697,-73.8203,49.53,94,100,25.68,moderate rain
88,Olkhovka,RU,53.2115,60.6069,40.64,87,100,6.8,overcast clouds
89,Pacific Grove,US,36.6177,-121.9166,75.63,71,1,3.44,clear sky
90,Darhan,MN,49.4867,105.9228,45.66,51,100,2.57,moderate rain
91,Yellowknife,CA,62.456,-114.3525,46.42,100,90,1.01,mist
92,Guatire,VE,10.4762,-66.5427,88.2,66,77,1.72,broken clouds
93,Vila Franca Do Campo,PT,37.7167,-25.4333,78.19,71,56,2.71,broken clouds
94,College,US,64.8569,-147.8028,32.2,83,75,5.75,broken clouds
95,Salinopolis,BR,-0.6136,-47.3561,86.02,62,62,9.78,broken clouds
96,Iqaluit,CA,63.7506,-68.5145,31.73,80,40,2.3,scattered clouds
97,Maridi,SS,4.9158,29.4742,71.74,90,99,2.3,light rain
98,Ivanteyevka,RU,55.9711,37.9208,43.48,73,4,1.57,clear sky
99,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,90,9.22,overcast clouds
100,Roebourne,AU,-20.7833,117.1333,74.34,57,2,22.93,clear sky
101,Akropong,GH,5.9746,-0.0854,76.93,81,94,5.64,light rain
102,Toora-Khem,RU,52.4675,96.11,35.8,88,100,12.21,light rain
103,Kostomuksha,RU,64.571,30.5767,39.87,88,80,5.59,broken clouds
104,Nikolskoye,RU,59.7035,30.7861,52.81,77,99,4.29,overcast clouds
105,Russell,US,32.3502,-85.1999,84.79,69,1,0.0,clear sky
106,Bara,NG,10.3744,10.7288,89.64,52,81,4.68,broken clouds
107,Hobart,AU,-42.8794,147.3294,56.26,96,90,6.91,light rain
108,Edgewater,US,28.9889,-80.9023,88.38,56,10,8.68,clear sky
109,Orbetello,IT,42.4408,11.2196,82.22,53,20,4.61,few clouds
110,General Roca,AR,-39.0333,-67.5833,63.0,26,100,16.53,overcast clouds
111,Ceres,US,37.5949,-120.9577,69.04,76,1,0.0,clear sky
112,Trelew,AR,-43.249,-65.3051,60.01,17,48,10.4,scattered clouds
113,Thompson,CA,55.7435,-97.8558,51.96,76,20,2.3,few clouds
114,Mukdahan,TH,16.5833,104.5,78.84,79,8,2.17,clear sky
115,Kenai,US,60.5544,-151.2583,41.14,70,1,8.05,clear sky
116,Srednekolymsk,RU,67.45,153.6833,22.17,72,100,8.77,overcast clouds
117,Lethem,GY,3.3803,-59.7968,86.05,70,75,13.8,broken clouds
118,Palmer,US,42.1584,-72.3287,64.51,59,20,1.99,few clouds
119,Bata,GQ,1.8639,9.7658,77.16,88,100,6.13,moderate rain
120,Berbera,SO,10.4396,45.0143,90.68,63,100,1.74,overcast clouds
121,Carnarvon,AU,-24.8667,113.6333,64.47,63,40,19.57,scattered clouds
122,Bushehr,IR,28.9684,50.8385,93.22,62,0,9.22,clear sky
123,Kavieng,PG,-2.5744,150.7967,82.2,69,98,5.82,overcast clouds
124,Bogatic,RS,44.8375,19.4806,67.91,50,17,9.51,few clouds
125,Kachug,RU,53.9606,105.8817,29.93,80,9,2.62,clear sky
126,Qaanaaq,GL,77.484,-69.3632,29.57,95,100,10.71,overcast clouds
127,Marsh Harbour,BS,26.5412,-77.0636,81.45,60,79,15.46,broken clouds
128,Lebu,CL,-37.6167,-73.65,55.0,76,98,15.84,overcast clouds
129,Sitka,US,57.0531,-135.33,51.69,76,90,24.16,moderate rain
130,Puerto Madero,MX,14.7208,-92.4215,86.2,79,20,0.0,few clouds
131,Bokoro,TD,12.3807,17.0568,97.36,22,78,0.49,broken clouds
132,Clyde River,CA,70.4692,-68.5914,39.43,81,75,6.91,broken clouds
133,Ekuvukeni,ZA,-28.4675,30.1551,67.26,65,81,8.81,broken clouds
134,Lorengau,PG,-2.0226,147.2712,78.48,79,100,5.37,overcast clouds
135,Aguada De Pasajeros,CU,22.385,-80.8508,87.94,47,0,10.07,clear sky
136,Anadyr,RU,64.75,177.4833,21.7,79,0,8.01,clear sky
137,Mehamn,NO,71.0357,27.8492,48.38,61,75,18.41,broken clouds
138,Hilo,US,19.7297,-155.09,71.8,88,1,5.75,clear sky
139,Teguise,ES,29.0605,-13.564,88.02,43,20,17.27,few clouds
140,Matinhos,BR,-25.8175,-48.5428,72.66,98,100,5.82,moderate rain
141,Gat,IL,31.61,34.7642,79.39,100,0,11.95,clear sky
142,Bozeman,US,45.6796,-111.0386,55.2,44,1,1.01,clear sky
143,Tasiilaq,GL,65.6145,-37.6368,42.96,54,25,8.95,scattered clouds
144,San Juan De Los Morros,VE,9.9115,-67.3538,83.79,65,49,5.55,scattered clouds
145,Kruisfontein,ZA,-34.0033,24.7314,59.88,87,27,13.56,scattered clouds
146,Flinders,AU,-34.5833,150.8552,58.28,87,34,1.01,scattered clouds
147,Asau,RO,46.4333,26.4,54.52,51,51,1.99,broken clouds
148,Khatanga,RU,71.9667,102.5,26.37,98,99,1.74,overcast clouds
149,Megion,RU,61.0296,76.1136,35.62,95,93,11.7,overcast clouds
150,Akita,JP,39.7167,140.1167,63.36,91,100,5.26,overcast clouds
151,Bilibino,RU,68.0546,166.4372,-5.39,99,24,5.08,few clouds
152,Egvekinot,RU,66.3167,-179.1667,12.88,72,22,9.66,few clouds
153,Ormara,PK,25.2088,64.6357,82.18,81,100,24.9,very heavy rain
154,Kaitangata,NZ,-46.2817,169.8464,48.92,73,100,6.51,overcast clouds
155,Cidreira,BR,-30.1811,-50.2056,72.07,80,100,11.5,overcast clouds
156,Coos Bay,US,43.3665,-124.2179,55.85,93,1,3.44,clear sky
157,Zheleznodorozhnyy,RU,55.7503,38.0042,43.36,62,4,0.65,clear sky
158,Saint Johnsbury,US,44.4192,-72.0151,57.74,72,90,5.99,overcast clouds
159,Auki,SB,-8.7676,160.7034,76.64,86,89,1.79,overcast clouds
160,Namatanai,PG,-3.6667,152.4333,80.49,77,100,4.23,overcast clouds
161,Saint-Pierre,RE,-21.3393,55.4781,73.29,72,75,6.91,broken clouds
162,Kibungo,RW,-2.1597,30.5427,74.32,53,99,3.58,overcast clouds
163,Lasa,IT,46.6166,10.7002,66.11,73,54,4.34,broken clouds
164,Port Macquarie,AU,-31.4333,152.9167,58.89,89,95,4.83,overcast clouds
165,Saldanha,ZA,-33.0117,17.9442,62.65,80,1,27.07,clear sky
166,Los Llanos De Aridane,ES,28.6585,-17.9182,79.12,75,75,16.11,volcanic ash
167,Sheffield,GB,53.383,-1.4659,61.21,61,63,4.0,broken clouds
168,Talnakh,RU,69.4865,88.3972,22.75,94,95,1.61,overcast clouds
169,Saint-Augustin,CA,51.226,-58.6502,45.19,91,100,21.88,overcast clouds
170,Viedma,AR,-40.8135,-62.9967,65.79,18,4,10.85,clear sky
171,Chapais,CA,49.7834,-74.8492,49.78,50,6,7.36,clear sky
172,Zhicheng,CN,30.2956,111.5047,74.97,75,48,2.51,light rain
