City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bathsheba,BB,2021-05-23 22:50:18,13.2167,-59.5167,81.21,77,40,16.17
68,Sola,VU,2021-05-23 22:50:18,-13.8833,167.55,79.47,83,90,4.61
69,Puerto Ayora,EC,2021-05-23 22:50:19,-0.7393,-90.3518,80.56,85,68,7.0
70,Mahebourg,MU,2021-05-23 22:50:30,-20.4081,57.7,70.09,88,40,3.44
71,Parnu,EE,2021-05-23 22:50:31,58.3859,24.4971,48.99,95,54,10.22
72,Severo-Kurilsk,RU,2021-05-23 22:50:31,50.6789,156.125,46.33,63,35,10.09
73,Georgetown,MY,2021-05-23 22:50:32,5.4112,100.3354,82.89,86,20,5.01
74,Road Town,VG,2021-05-23 22:49:14,18.4167,-64.6167,77.09,94,40,3.44
75,Tripoli,LY,2021-05-23 22:46:39,32.8752,13.1875,73.74,51,16,18.28
76,Shubarkuduk,KZ,2021-05-23 22:50:33,49.1447,56.4872,69.51,31,6,7.38
77,Sitka,US,2021-05-23 22:47:53,57.0531,-135.33,51.69,71,90,5.75
78,Camana,PE,2021-05-23 22:50:45,-16.6228,-72.7111,64.98,81,38,6.55
79,Boueni,YT,2021-05-23 22:50:56,-12.9025,45.0761,76.98,64,35,14.36
80,Richards Bay,ZA,2021-05-23 22:51:08,-28.783,32.0377,62.87,80,2,9.69
81,Aripuana,BR,2021-05-23 22:51:20,-9.1667,-60.6333,76.33,91,92,2.98
82,Markivka,UA,2021-05-23 22:51:31,49.5229,39.5705,56.52,85,74,8.03
83,Nizhniy Odes,RU,2021-05-23 22:51:32,63.6445,54.856,40.08,73,66,5.82
84,Yuli,NG,2021-05-23 22:51:32,9.6989,10.2744,82.47,59,65,4.81
85,Aksu,CN,2021-05-23 22:51:32,41.1231,80.2644,66.2,26,95,3.49
86,Brownwood,US,2021-05-23 22:51:33,31.7093,-98.9912,78.12,83,100,17.81
87,Oranjemund,NA,2021-05-23 22:51:33,-28.55,16.4333,72.23,33,0,7.43
88,Shieli,KZ,2021-05-23 22:51:34,44.1667,66.75,75.4,26,10,14.94
89,Sakakah,SA,2021-05-23 22:51:45,29.9697,40.2064,78.37,21,0,5.91
90,Vaini,TO,2021-05-23 22:51:46,-21.2,-175.2,71.76,94,90,10.36
91,Shakawe,BW,2021-05-23 22:51:46,-18.3667,21.85,54.48,56,0,4.63
92,Catuday,PH,2021-05-23 22:51:47,16.2923,119.8062,81.5,75,5,6.53
93,Camacha,PT,2021-05-23 22:51:47,33.0833,-16.3333,61.56,48,40,13.8
94,Gat,IL,2021-05-23 22:49:22,31.61,34.7642,67.41,81,21,2.17
95,Grindavik,IS,2021-05-23 22:51:48,63.8424,-22.4338,46.35,75,75,5.68
96,Henties Bay,NA,2021-05-23 22:51:49,-22.116,14.2845,74.86,40,0,2.73
97,Cape Town,ZA,2021-05-23 22:48:08,-33.9258,18.4232,66.61,42,0,9.01
98,Zachary,US,2021-05-23 22:50:04,30.6485,-91.1565,82.27,72,1,4.54
99,Nsanje,MW,2021-05-23 22:51:50,-16.92,35.262,63.05,98,81,3.47
100,Sisimiut,GL,2021-05-23 22:52:01,66.9395,-53.6735,35.58,64,98,2.48
101,Harrisonburg,US,2021-05-23 22:52:02,38.4496,-78.8689,86.61,61,75,8.59
102,Khatanga,RU,2021-05-23 22:52:02,71.9667,102.5,36.32,93,100,8.32
103,Thompson,CA,2021-05-23 22:52:03,55.7435,-97.8558,62.76,36,20,17.27
104,Padang,ID,2021-05-23 22:52:03,-0.9492,100.3543,77.05,86,62,3.89
105,Urumqi,CN,2021-05-23 22:52:04,43.801,87.6005,59.95,39,0,1.19
106,Carballo,ES,2021-05-23 22:52:15,43.213,-8.691,58.01,98,100,10.92
107,Ako,JP,2021-05-23 22:52:27,34.75,134.4,70.45,77,100,2.17
108,Soyo,AO,2021-05-23 22:52:27,-6.1349,12.3689,77.59,83,97,4.74
109,Konin,PL,2021-05-23 22:52:28,52.2234,18.2512,47.05,93,23,6.4
110,Touros,BR,2021-05-23 22:52:28,-5.1989,-35.4608,79.7,84,4,13.62
111,Mpongwe,ZM,2021-05-23 22:52:29,-13.5091,28.155,53.31,85,3,7.83
112,Hilo,US,2021-05-23 22:52:29,19.7297,-155.09,82.13,79,40,14.97
113,Salinas,US,2021-05-23 22:49:14,36.6777,-121.6555,75.58,59,20,13.8
114,Kahului,US,2021-05-23 22:52:41,20.8947,-156.47,84.22,72,40,20.71
115,Srednekolymsk,RU,2021-05-23 22:52:53,67.45,153.6833,52.81,36,43,8.34
116,Bundaberg,AU,2021-05-23 22:53:04,-24.85,152.35,69.22,72,40,7.0
117,Nikolskoye,RU,2021-05-23 22:53:16,59.7035,30.7861,50.79,96,73,11.12
118,Vernon,CA,2021-05-23 22:51:58,50.2581,-119.2691,81.12,25,97,2.3
119,Atbasar,KZ,2021-05-23 22:53:16,51.8,68.3333,69.31,33,1,6.91
120,Mataura,NZ,2021-05-23 22:53:17,-46.1927,168.8643,49.48,87,13,1.16
121,Cape Coast,GH,2021-05-23 22:53:17,5.1053,-1.2466,79.52,88,55,4.61
122,Clyde River,CA,2021-05-23 22:53:18,70.4692,-68.5914,21.43,93,90,17.27
123,Tasiilaq,GL,2021-05-23 22:53:18,65.6145,-37.6368,32.32,96,100,13.78
124,Hobart,AU,2021-05-23 22:53:30,-42.8794,147.3294,53.11,63,0,6.64
125,Banjar,ID,2021-05-23 22:53:30,-8.19,114.9675,80.46,88,15,2.73
126,Norman Wells,CA,2021-05-23 22:53:31,65.282,-126.8329,48.24,93,90,12.66
127,Isangel,VU,2021-05-23 22:53:31,-19.55,169.2667,73.51,62,75,9.55
128,Beloha,MG,2021-05-23 22:53:32,-25.1667,45.05,63.55,90,0,9.35
129,Cabo San Lucas,MX,2021-05-23 22:53:32,22.8909,-109.9124,90.81,55,12,7.47
130,Bethel,US,2021-05-23 22:53:33,41.3712,-73.414,84.07,84,88,5.99
131,Aklavik,CA,2021-05-23 22:53:34,68.2191,-135.0107,38.12,75,91,21.74
132,Kenai,US,2021-05-23 22:53:45,60.5544,-151.2583,63.03,51,1,8.48
133,Ranfurly,NZ,2021-05-23 22:53:57,-45.1333,170.1,43.65,79,50,4.18
134,Cap Malheureux,MU,2021-05-23 22:53:57,-19.9842,57.6142,70.29,76,44,14.38
135,Faanui,PF,2021-05-23 22:53:58,-16.4833,-151.75,81.37,75,86,13.71
136,Ziarat,PK,2021-05-23 22:53:58,30.3823,67.7282,54.46,53,0,0.58
137,Upernavik,GL,2021-05-23 22:53:58,72.7868,-56.1549,28.87,87,14,9.8
138,Ucluelet,CA,2021-05-23 22:53:59,48.9329,-125.5528,67.95,81,95,1.99
139,Bandarbeyla,SO,2021-05-23 22:53:59,9.4942,50.8122,81.3,70,59,21.79
140,Hamilton,US,2021-05-23 22:51:39,39.1834,-84.5333,83.59,60,90,5.84
141,Saint-Francois,FR,2021-05-23 22:54:00,46.4154,3.9054,51.19,93,0,3.44
142,Bambous Virieux,MU,2021-05-23 22:54:00,-20.3428,57.7575,70.05,78,40,12.44
143,Alofi,NU,2021-05-23 22:54:23,-19.0595,-169.9187,82.29,83,74,6.91
144,Vardo,NO,2021-05-23 22:54:35,70.3705,31.1107,35.46,64,42,6.8
145,Opuwo,NA,2021-05-23 22:54:46,-18.0607,13.84,64.45,36,0,7.56
146,Ponta Do Sol,PT,2021-05-23 22:54:58,32.6667,-17.1,65.03,71,95,10.4
147,Saint-Augustin,CA,2021-05-23 22:54:58,51.226,-58.6502,38.48,81,100,15.79
148,Miechow,PL,2021-05-23 22:54:59,50.3565,20.0279,49.8,95,75,8.46
149,Abha,SA,2021-05-23 22:54:59,18.2164,42.5053,67.82,44,0,2.42
150,Tuatapere,NZ,2021-05-23 22:55:00,-46.1333,167.6833,49.82,81,25,3.89
151,Lamesa,US,2021-05-23 22:52:27,32.7376,-101.951,85.08,45,71,15.55
152,Leningradskiy,RU,2021-05-23 22:55:00,69.3833,178.4167,31.89,86,69,0.36
153,Cozumel,MX,2021-05-23 22:55:01,20.5083,-86.9458,84.0,76,56,5.01
154,Dinguiraye,GN,2021-05-23 22:55:01,11.3,-10.7167,83.05,37,69,3.33
155,Sabha,LY,2021-05-23 22:55:07,27.0377,14.4283,89.46,9,0,11.99
156,Felipe Carrillo Puerto,MX,2021-05-23 22:55:19,19.5833,-88.05,78.67,83,99,5.55
157,Morros,BR,2021-05-23 22:55:30,-9.4467,-46.3003,76.84,51,100,2.21
158,Muli,MV,2021-05-23 22:55:30,2.9167,73.5667,84.09,75,100,15.82
159,Souillac,MU,2021-05-23 22:55:31,-20.5167,57.5167,70.18,85,40,11.23
160,Saint-Ambroise,CA,2021-05-23 22:55:31,48.5501,-71.3324,59.32,40,5,10.67
161,Sinnamary,GF,2021-05-23 22:55:32,5.3833,-52.95,77.99,91,100,8.28
162,Dire Dawa,ET,2021-05-23 22:55:32,9.5931,41.8661,68.31,75,69,12.48
163,Qaanaaq,GL,2021-05-23 22:55:33,77.484,-69.3632,27.16,81,3,4.54
164,Ornskoldsvik,SE,2021-05-23 22:55:33,63.2909,18.7153,40.82,87,90,4.45
165,Lorengau,PG,2021-05-23 22:55:34,-2.0226,147.2712,84.07,72,55,5.99
166,Skibbereen,IE,2021-05-23 22:55:45,51.55,-9.2667,44.4,81,79,9.22
167,Boende,CD,2021-05-23 22:55:57,-0.2167,20.8667,69.55,99,98,2.66
168,Geraldton,AU,2021-05-23 22:55:57,-28.7667,114.6,63.01,60,75,20.11
169,Novikovo,RU,2021-05-23 22:55:58,51.1537,37.8879,52.83,89,61,3.62
170,Beringovskiy,RU,2021-05-23 22:55:59,63.05,179.3167,32.0,98,100,10.33
